branch,category,seatpool,oprank,closerank
"Ocean Engineering and Naval Architecture(4 year, Bachelor of Technology,
Engineering)",OBC-NCL,Female-Only,5892,5984
"Ocean Engineering and Naval Architecture(4 year, Bachelor of Technology,
Engineering)",SC,Female-Only,3076,3076
"Ocean Engineering and Naval Architecture(4 year, Bachelor of Technology,
Engineering)",ST,Female-Only,401P,401P
"Industrial and Systems Engineering(4 year, Bachelor of Technology, Engineering)",General,Gender-Neutral,2726,3486
"Industrial and Systems Engineering(4 year, Bachelor of Technology, Engineering)",EWS,Gender-Neutral,300,300
"Industrial and Systems Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Gender-Neutral,1711,1940
"Industrial and Systems Engineering(4 year, Bachelor of Technology, Engineering)",SC,Gender-Neutral,976,1355
"Industrial and Systems Engineering(4 year, Bachelor of Technology, Engineering)",ST,Gender-Neutral,462,615
"Industrial and Systems Engineering(4 year, Bachelor of Technology, Engineering)",General,Female-Only,7547,8060
"Industrial and Systems Engineering(4 year, Bachelor of Technology, Engineering)",OBC-NCL,Female-Only,3880,4268
"Industrial and Systems Engineering(4 year, Bachelor of Technology, Engineering)",SC,Female-Only,1846,1846
"Architecture (5 year, Bachelor of Architecture, Architecture)",General,Gender-Neutral,6601,14850
"Architecture (5 year, Bachelor of Architecture, Architecture)",General PwD,Gender-Neutral,254P,254P
"Architecture (5 year, Bachelor of Architecture, Architecture)",EWS,Gender-Neutral,2129,2129
"Architecture (5 year, Bachelor of Architecture, Architecture)",OBC-NCL,Gender-Neutral,3133,5549
"Architecture (5 year, Bachelor of Architecture, Architecture)",SC,Gender-Neutral,2012,2583
"Architecture (5 year, Bachelor of Architecture, Architecture)",ST,Gender-Neutral,1079,302P
"Architecture (5 year, Bachelor of Architecture, Architecture)",General,Female-Only,16403,18028
"Architecture (5 year, Bachelor of Architecture, Architecture)",EWS,Female-Only,3362,3362
"Architecture (5 year, Bachelor of Architecture, Architecture)",OBC-NCL,Female-Only,6054,6054
"Architecture (5 year, Bachelor of Architecture, Architecture)",SC,Female-Only,1745,1745
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Gender-Neutral,3586,4225
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Gender-Neutral,1658,1788
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Gender-Neutral,845,937
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Gender-Neutral,548,638
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Female-Only,7932,8204
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Female-Only,3764,3764
"Aerospace Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Female-Only,1608,1608
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations(5
year, Bachelor and Master of Technology (Dual Degree), Engineering)",General,Gender-Neutral,7085,8268
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations(5
year, Bachelor and Master of Technology (Dual Degree), Engineering)",EWS,Gender-Neutral,855,855
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations(5
year, Bachelor and Master of Technology (Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,3276,3655
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations(5
year, Bachelor and Master of Technology (Dual Degree), Engineering)",SC,Gender-Neutral,2080,2234
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations(5
year, Bachelor and Master of Technology (Dual Degree), Engineering)",ST,Gender-Neutral,1054,1062
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations(5
year, Bachelor and Master of Technology (Dual Degree), Engineering)",General,Female-Only,13399,14505
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations(5
year, Bachelor and Master of Technology (Dual Degree), Engineering)",OBC-NCL,Female-Only,6990,7005
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations(5
year, Bachelor and Master of Technology (Dual Degree), Engineering)",SC,Female-Only,3458,3458
"Biotechnology and Biochemical Engineering(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",General,Gender-Neutral,5771,6881
"Biotechnology and Biochemical Engineering(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",EWS,Gender-Neutral,698,698
"Biotechnology and Biochemical Engineering(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,3121,3431
"Biotechnology and Biochemical Engineering(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",SC,Gender-Neutral,1913,2081
"Biotechnology and Biochemical Engineering(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",ST,Gender-Neutral,938,1024
"Biotechnology and Biochemical Engineering(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",General,Female-Only,12500,12740
"Biotechnology and Biochemical Engineering(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",OBC-NCL,Female-Only,5532,5532
"Biotechnology and Biochemical Engineering(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",SC,Female-Only,2085,2085
"Biotechnology and Biochemical Engineering(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",ST,Female-Only,793P,793P
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Gender-Neutral,3430,3747
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General PwD,Gender-Neutral,206P,206P
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",EWS,Gender-Neutral,394,394
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Gender-Neutral,1911,2226
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Gender-Neutral,1054,1163
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Gender-Neutral,463,666
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",General,Female-Only,5816,7807
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",OBC-NCL,Female-Only,4324,4324
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",SC,Female-Only,1422,1422
"Chemical Engineering(5 year, Bachelor and Master of Technology (Dual Degree),
Engineering)",ST,Female-Only,1029,1029
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",General,Gender-Neutral,4226,5460
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",General PwD,Gender-Neutral,244P,244P
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",EWS,Gender-Neutral,528,528
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,1809,2231
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",SC,Gender-Neutral,901,1145
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",ST,Gender-Neutral,265,343
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",General,Female-Only,9678,9944
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",OBC-NCL,Female-Only,4514,4514
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",SC,Female-Only,1831,1831
"Civil Engineering with any of the listed specialization(5 year, Bachelor and Master of
Technology (Dual Degree), Engineering)",ST,Female-Only,1191,1191
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",General,Gender-Neutral,287,422
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",General PwD,Gender-Neutral,12,12
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",EWS,Gender-Neutral,36,36
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",OBC-NCL,Gender-Neutral,140,256
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",SC,Gender-Neutral,77,139
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",ST,Gender-Neutral,92,100
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",General,Female-Only,1389,1543
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",OBC-NCL,Female-Only,516,703
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",SC,Female-Only,186,186
"Computer Science and Engineering(5 year, Bachelor and Master of Technology (Dual
Degree), Engineering)",ST,Female-Only,229,229
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",General,Gender-Neutral,1367,1746
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",General PwD,Gender-Neutral,14P,14P
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",EWS,Gender-Neutral,147,147
