branch,seatpool,oprank,closerank,category
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3303,3303,GEN-EWS
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,19095,25907,OPEN
"Mining Engineering (4 Years, Bachelor of Technology)",Female-Only,25215,33192,OPEN
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3768,4158,SC
"Mining Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1536,1536,ST
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5709,10937,OBC-NCL
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Female-Only,15815,17320,OBC-NCL
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2904,2904,GEN-EWS
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,18656,21801,OPEN
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Female-Only,17369,20982,OPEN
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1793,4332,SC
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Female-Only,6219,6219,SC
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2219,2718,ST
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3456,3825,OBC-NCL
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Female-Only,3773,6355,OBC-NCL
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1580,1580,GEN-EWS
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6839,10985,OPEN
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Female-Only,12174,14016,OPEN
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,492,492,OPEN (PwD)
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2544,2712,SC
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Female-Only,3137,3137,SC
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1147,1161,ST
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,22385,22506,OBC-NCL
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Female-Only,26423,26423,OBC-NCL
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6486,6486,GEN-EWS
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,45732,48043,OPEN
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Female-Only,46925,46925,OPEN
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1731,1731,OPEN (PwD)
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,8416,8507,SC
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Female-Only,10696,10696,SC
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4076,4076,ST
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,7238,10838,OBC-NCL
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Female-Only,9172,9172,OBC-NCL
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,3828,3828,GEN-EWS
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,17017,26908,OPEN
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Female-Only,25330,25330,OPEN
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2068,2086,SC
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Female-Only,7398,7398,SC
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,2300,2300,ST
